"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "bin" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
33 "sha" 65698 7 "palato-alveolar" "4" "sha.2.4.mp3" "sha_v4_b3" "Pal" "Vls" "Fric" "repsyll" "repsyll" "repsyll" "null" "null" "null" "repPal" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sha-sha" "4-3" NA
34 "tha" 67206 7 "dental" "2" "tha.3.2.mp3" "tha_v2_b3" "Dent" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sha-tha" "4-2" 0.0442934452101461
35 "tha" 68699 7 "dental" "1" "tha.3.1.mp3" "tha_v1_b3" "Dent" "Vls" "Fric" "repsyll" "repsyll" "repsyll" "null" "null" "repDent" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "tha-tha" "1-2" NA
36 "null" 70207 7 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
37 "sa" 74203 7 "alveolar" "2" "sa.1.2.mp3" "sa_v2_b3" "Alv" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-sa" "null-2" NA
38 "sa" 75695 7 "alveolar" "3" "sa.3.3.mp3" "sa_v3_b3" "Alv" "Vls" "Fric" "repsyll" "repsyll" "repsyll" "null" "repAlv" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sa-sa" "3-2" NA
39 "tha" 77203 7 "dental" "4" "tha.2.4.mp3" "tha_v4_b3" "Dent" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "tha-sa" "4-3" 0.15482586365123
40 "sa" 78696 7 "alveolar" "1" "sa.1.1.mp3" "sa_v1_b3" "Alv" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "tha-sa" "1-4" 0.15482586365123
41 "za" 80204 7 "alveolar" "1" "za.1.1.mp3" "za_v1_b3" "Alv" "Vcd" "Fric" "repcatvoice" "repvoice" "repcatvoice" "null" "repAlv" "null" "null" "null" "repFric" "null" "null" "null" "null" "repVoice" "za-sa" "1-1" 0.0344734172749872
42 "SH_a" 81696 7 "palato-alveolar" "2" "SH_a.1.2.mp3" "SH_a_v2_b2" "Pal" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "za-SH_a" "1-2" 0.138178965310133
43 "za" 83205 7 "alveolar" "2" "za.2.2.mp3" "za_v2_b3" "Alv" "Vcd" "Fric" "repvoice" "repcatvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "repVoice" "za-SH_a" "2-2" 0.138178965310133
44 "TH_a" 84697 7 "dental" "2" "TH_a.2.2.mp3" "TH_a_v2_b3" "Dent" "Vcd" "Fric" "repvoice" "repcatvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "repVoice" "za-TH_a" "2-2" 0.163608918306741
45 "sa" 86206 7 "alveolar" "4" "sa.3.4.mp3" "sa_v4_b3" "Alv" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "TH_a-sa" "4-2" 0.0250740393246598
