CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	X	Y	Z	RotX	RotY	RotZ	AROMAAggrComp01	AROMAAggrComp02	AROMAAggrComp03	AROMAAggrComp04	AROMAAggrComp05	AROMAAggrComp06	AROMAAggrComp07	AROMAAggrComp08	AROMAAggrComp09	AROMAAggrComp11
779.2533664819848	580.0278703919026	567.0758558782666	1.06626797	40.92094803	1.02217925	0.11155452999999999	-0.0496486832	0.2069501889	-0.22566242190000002	0.1529392804	-0.0277349265	-0.0219994713	-0.1515413418	-0.1414077737	-0.0709314711	-0.1280502962	-0.1274904075	0.0761861795	0.1064296968	0.1003995007	0.00605802	-0.00787911	0.07717659999999998	0.000599469	0.00113713	-0.000224176	-2.171377133	-1.992211917	2.431451735	1.551500903	-0.5235847886	2.525874474	-0.363940729	-0.2217651506	-1.006614335	1.127883119
779.032436648643	580.591900526298	566.6718759773328	1.04718256	40.18849564	1.01596165	0.14684641999999998	-0.1392869331	0.0741973884	-0.1557927334	0.0477182811	0.0642662726	0.0889121843	-0.1666627553	-0.0077061891	-0.09872338359999999	-0.0325146952	-0.1400322582	-0.0301872477	0.1060250428	0.0988142802	0.0121316	-0.040969	0.0197831	0.000861551	0.000584858	-0.000415611	-1.643371402	-1.991838369	1.440260013	2.528147399	-0.3304308225	2.504882632	1.46998148	-0.7208404029	1.330309037	1.859929531
784.2519781985179	581.1833348253697	566.0833252299149	1.05029678	40.30801392	1.01439881	0.094382472	-0.0776432504	-0.087643254	-0.23963455960000002	0.0461096493	0.0141379497	-0.0047809769	-0.0108541459	0.017740854	-0.1682334242	-0.10943047119999999	-0.0968112992	0.0447694605	0.1055841814	0.0970940913	0.00352435	0.00952044	0.0197896	0.00106502	0.000493855	-4.49736e-06	-1.771105989	-2.101918279	1.238466238	1.988254314	2.326745968	1.311334347	1.571025346	-0.2814988541	1.015852162	1.707009799
780.9751864045702	580.9632722341071	564.8440545325187	1.00183582	38.44818878	1.00817728	0.0785121637	-0.007593810699999999	-0.10436519109999999	-0.1594426055	-0.1057663093	0.0581715365	0.0418999745	0.0714785272	-0.0491048043	-0.1712104421	-0.1051249591	-0.0848755443	0.0440546908	0.1051072631	0.09524128359999999	5.93413e-05	-0.0400301	-0.000953515	0.00116009	0.000493855	-4.49736e-06	-1.830696665	-1.875708148	0.10050982	2.381738036	2.144528674	1.484488534	0.9248932122	-0.1082816969	0.5965741746	1.374874685
778.0042888909596	580.4112141452188	563.7431959404331	1.06151819	40.73866272	1.01487029	0.0594060437	0.0352307494	-0.0574582857	-0.0029030989	-0.057750328200000006	0.14252346359999998	0.1088472441	0.0430854393	-0.028005836800000003	-0.05917688769999999	0.0183315055	0.11868684300000001	0.1530691307	0.10459445070000001	0.0932583877	0.00185166	-0.00791497	0.00997558	0.00145148	0.000493855	-4.49736e-06	-1.877688037	-1.950849554	0.5535293527	1.61041841	1.344097359	0.5446109367	0.283786789	1.889173549	-2.16363693	0.991983297
776.4816844279759	579.5968195623411	563.093068716715	1.06172752	40.74669647	1.02716148	0.130566572	-0.0207782312	0.0010400287	0.048855496500000005	-0.165765086	-0.0102576915	0.11790222189999999	-0.039807212	-0.0595915995	0.0515604816	0.0425608039	0.1783013668	-0.018675278	0.10404591949999999	0.09114811210000001	0.00321799	-0.0524448	-0.0202409	0.000599794	0.000493855	-0.00024189	-1.583818097	-2.117677303	-0.1708598676	1.420670165	-0.07973998959	1.755688435	-0.3025900833	1.444557667	0.8289184811	0.6820962326
775.3546156343616	579.6986772679871	562.821424375642	1.02864599	39.47710419	1.00910604	0.07981420999999998	0.0379969417	0.0284725795	0.1253564979	-0.025830999900000002	-0.0168214348	0.08581394029999999	-0.0401175148	-0.0322113504	0.10110041939999999	0.0746801919	0.1464595034	0.0515070193	0.1034618567	0.0889133391	0.012183	-0.0145781	-0.0140125	0.000446665	0.000253477	-0.000100315	-1.619537091	-2.362641952	0.4870818276	0.9282679494	-1.155790579	0.2833133541	-0.01598940722	1.633663639	-1.587934409	1.250134608
774.9489837091674	579.369588994787	563.1074351091439	1.03471434	39.70999146	1.01653612	0.07441729999999999	-0.059199345599999995	0.027220948300000002	0.12394910599999999	0.0017784752	-0.0116948447	0.0214491507	-0.0579680917	0.051866845999999994	0.11920787109999999	0.0889492697	0.026208837599999996	-0.0647404176	0.1028424617	0.08655712119999999	0.012272000000000003	-0.0460776	-0.0303017	0.000345799	0.000351813	-0.000431905	-1.357936436	-2.039238804	0.3687468754	0.6166481375	-1.131837756	1.958249713	1.087091674	-0.4079823981	-0.377689973	0.2576421932
771.9124234141083	579.4289726281552	563.2133079621018	0.9987579	38.33006668	1.00124824	0.108821979	-0.07613287839999999	0.038627008399999996	0.1479133889	-0.0213827737	-0.1407692894	-0.0300067505	-0.08476672539999999	0.0476934774	0.0601739311	0.17565618370000002	-0.0037518877	0.0072466765	0.1021879461	0.0840826767	-0.000229059	-0.00451003	-0.0250265	0.000486311	-8.84428e-05	-2.31098e-05	-1.335471808	-2.244631879	0.7310170981	0.3423533512	-0.7147395702	0.3964067223	1.137687707	-0.476094098	0.3338553886	1.506809802
775.2901406477165	579.0232575445798	563.2187110217249	1.01233077	38.85096359	1.00919724	0.07841536599999999	0.0372132581	-0.0583746287	0.1007790629	-0.0215976389	-0.16201617029999998	-0.0088259529	0.0576610799	-0.025629419599999998	0.0664922489	0.11224866650000001	-0.0552399222	0.0621123425	0.1014985334	0.0814933854	-0.00425897	-0.0289806	-0.0414917	0.000713324	0.000351813	-2.48347e-05	-1.398850374	-1.84427829	0.1714259771	0.6472745227	0.7613680976	1.3891929	0.8629865926	-0.992413884	0.946510393	0.1394779546
